,Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value
2786,10,0,37,0,2160,51,54,25,3,1,2,30,304.44
1456,0,0,33,0,1875,25,267,11,3,1,1,30,1144.0
965,3,0,37,1,6500,86,186,26,3,1,1,30,1007.44
650,10,0,38,0,4560,72,14,20,3,1,1,30,241.28
1924,14,0,35,1,6223,103,27,22,2,1,1,25,406.17
1413,1,0,39,0,2970,29,487,11,3,1,1,30,2067.96
1789,0,0,24,0,1073,32,14,63,4,1,1,45,62.625
1544,1,0,16,1,1990,30,42,27,2,1,1,25,279.9
93,5,0,27,1,3285,64,13,25,3,1,1,30,185.96
1613,0,0,37,1,2905,27,508,10,3,1,1,30,2149.28
1357,3,0,29,0,8550,105,122,35,3,1,1,30,834.2
559,7,0,39,2,4630,89,34,29,3,1,1,30,324.76
817,4,0,43,0,710,20,21,9,3,1,2,30,113.2
2982,11,0,39,3,1353,21,19,4,5,1,1,55,49.11
2703,15,0,39,0,4388,66,7,33,1,1,1,15,283.47
737,4,0,36,0,2590,52,166,20,2,1,1,25,865.89
2521,11,0,36,2,6843,73,104,34,2,1,1,25,779.22
1928,1,0,35,0,538,7,1,1,3,1,2,30,25.8
2024,8,0,34,0,5513,92,19,22,2,1,1,25,337.725
2286,9,1,41,0,2050,52,55,26,4,1,2,45,190.05
1064,4,0,35,0,15180,176,143,28,2,1,1,25,1334.52
1817,0,0,31,0,405,2,0,5,2,1,2,25,18.315
623,21,0,35,7,10320,87,0,38,4,2,1,45,260.175
2505,14,0,37,2,3900,80,28,25,3,1,1,30,271.2
219,2,0,33,0,7428,125,374,39,2,1,1,25,2022.885
257,18,0,43,3,9375,131,159,49,3,1,1,30,1016.24
2811,12,1,40,0,2353,59,6,16,3,1,2,30,120.48
1915,4,0,36,1,6905,91,187,24,3,1,1,30,1027.84
1230,0,0,35,1,6560,93,17,24,4,1,1,45,208.825
3036,2,0,36,0,1260,39,20,22,3,1,2,30,131.96
216,0,0,33,0,795,12,0,7,2,1,2,25,36.315
1727,6,1,34,0,2153,39,36,32,3,1,2,30,231.68
510,2,0,38,0,5318,85,0,15,2,1,1,25,243.135
1021,8,0,37,1,6718,75,108,37,2,1,1,25,791.685
1751,0,0,37,0,0,0,0,0,2,1,2,25,0.0
592,10,0,26,1,1340,38,51,17,2,1,1,25,291.51
492,14,0,25,2,1825,42,40,28,2,1,1,25,264.015
331,0,1,30,0,0,0,0,0,4,1,2,45,0.0
2709,12,0,39,1,4705,83,7,23,3,1,1,30,219.52
2104,8,0,40,1,2698,64,9,35,2,1,1,25,164.79
414,7,0,34,0,15305,174,139,25,2,1,1,25,1322.055
35,2,0,36,0,3718,82,2,28,2,1,1,25,180.0
1156,0,0,34,0,1995,30,273,14,3,1,1,30,1173.0
2781,7,0,38,0,1123,14,25,9,4,1,2,45,90.925
644,2,0,17,0,1580,20,0,10,2,1,1,25,72.0
1215,0,0,39,1,6275,82,189,28,3,1,1,30,1010.28
1141,0,0,26,0,580,7,19,3,4,1,1,45,62.175
2031,0,1,34,0,323,1,2,2,4,1,2,45,13.1
2385,12,0,44,2,4283,98,24,36,3,1,1,30,271.24
638,4,0,26,0,1200,30,161,7,2,2,1,25,779.85
1028,0,0,36,0,133,2,0,2,3,1,2,30,5.4
1228,0,0,38,0,0,0,3,0,3,1,2,30,12.0
825,3,0,39,1,2840,28,8,15,3,1,1,30,146.72
2715,8,0,38,1,6690,86,161,24,3,1,1,30,915.04
194,3,0,22,1,1775,28,38,18,2,1,1,25,252.135
574,13,0,37,2,5933,104,58,28,3,1,1,30,473.48
1777,2,0,34,0,1773,37,18,26,3,1,2,30,144.4
788,2,0,22,0,1315,30,185,10,2,2,1,25,893.025
973,21,1,36,8,10435,93,1,42,5,1,1,55,159.42
1870,4,0,40,1,11160,154,12,46,4,1,1,45,312.85
767,0,0,33,0,710,8,5,7,2,1,2,25,54.81
2845,19,0,19,2,6507,146,83,41,2,2,1,25,672.885
1050,3,0,36,0,4065,65,0,15,2,1,1,25,185.85
270,12,0,43,2,11725,164,26,53,4,1,1,45,362.225
1265,0,0,31,0,6115,78,169,20,3,1,1,30,923.72
1818,0,0,30,0,0,0,0,0,2,1,2,25,0.0
1291,0,0,20,0,0,0,4,0,4,1,2,45,10.0
1621,3,0,36,1,6528,75,133,39,2,1,1,25,895.635
635,2,0,35,0,3603,76,0,24,2,1,1,25,165.555
720,5,0,37,1,11275,153,2,44,4,1,1,45,290.7
254,8,0,44,1,2653,68,17,39,2,1,1,25,198.945
2223,23,0,36,8,10680,96,7,42,5,1,1,55,172.14
911,3,0,37,0,1528,43,0,17,3,1,2,30,62.84
2496,19,0,20,1,9418,185,91,47,5,1,1,55,280.545
2691,5,0,29,0,1245,22,60,9,4,1,2,45,181.675
191,1,0,30,0,905,12,31,7,4,1,2,45,100.425
